timestamp_extraccion,ubicacion_id,ubicacion_nombre,ciudad,latitud,longitud,proveedor,owner,tipo_instrumento,es_movil,es_monitor,fecha_primer_dato,fecha_ultimo_dato,timezone,total_sensores,parametros_disponibles
2025-08-08T21:14:55.777594,25,Parque O'Higgins,Santiago,-33.464142,-70.660797,Chile - SINCA,Unknown Governmental Organization,Government Monitor,False,True,2016-01-30T01:00:00Z,2025-08-08T22:00:00Z,America/Santiago,6,"co, no2, o3, pm10, pm25, so2"
2025-08-08T21:15:04.844712,27,Concón,Concón,-32.924568,-71.515399,Chile - SINCA,Unknown Governmental Organization,Government Monitor,False,True,2016-01-30T01:00:00Z,2025-08-08T23:00:00Z,America/Santiago,6,"co, no2, o3, pm10, pm25, so2"
2025-08-08T21:15:14.536345,45,Puente Alto,Puente Alto,-33.591390623022,-70.594788,Chile - SINCA,Unknown Governmental Organization,Government Monitor,False,True,2016-01-30T01:00:00Z,2025-08-08T22:00:00Z,America/Santiago,6,"co, no2, o3, pm10, pm25, so2"
2025-08-08T21:15:23.897959,47,Valparaiso,Valparaíso,-33.049743798096,-71.614167231712,Chile - SINCA,Unknown Governmental Organization,Government Monitor,False,True,2016-01-30T01:00:00Z,2025-08-08T22:00:00Z,America/Santiago,6,"co, no2, o3, pm10, pm25, so2"
2025-08-08T21:15:33.295457,54,Talagante,Talagante,-33.673752071375,-70.953064737434,Chile - SINCA,Unknown Governmental Organization,Government Monitor,False,True,2016-01-30T01:00:00Z,2025-08-08T22:00:00Z,America/Santiago,6,"co, no2, o3, pm10, pm25, so2"
2025-08-08T21:15:45.629655,65,Punteras,Chiguayante,-36.923329602986,-73.036132300941,Chile - SINCA,Unknown Governmental Organization,Government Monitor,False,True,2016-01-30T01:00:00Z,2025-08-08T23:00:00Z,America/Santiago,6,"co, no2, o3, pm10, pm25, so2"
2025-08-08T21:15:56.057052,67,Ventanas,Sin ciudad,-32.77898790221,-71.373031276855,Chile - SINCA,Unknown Governmental Organization,Government Monitor,False,True,2016-02-12T05:00:00Z,2018-08-29T18:00:00Z,America/Santiago,6,"co, no2, o3, pm10, pm25, so2"
2025-08-08T21:16:05.057164,73,Coyhaique II,Coyhaique,-45.579045667164,-72.049964505825,Chile - SINCA,Unknown Governmental Organization,Government Monitor,False,True,2016-01-30T01:00:00Z,2025-08-08T23:00:00Z,America/Santiago,6,"co, no2, o3, pm10, pm25, so2"
2025-08-08T21:16:14.409056,145,Escuela E-10,Sin ciudad,-22.087,-70.193253,Chile - SINCA,Unknown Governmental Organization,Government Monitor,False,True,2016-01-30T01:00:00Z,2016-02-24T21:00:00Z,America/Santiago,6,"co, no2, o3, pm10, pm25, so2"
2025-08-08T21:16:24.365953,299,Quilicura,Sin ciudad,-33.365775677885,-70.748288055225,Chile - SINCA,Unknown Governmental Organization,Government Monitor,False,True,2016-01-30T01:00:00Z,2016-04-27T16:00:00Z,America/Santiago,6,"co, no2, o3, pm10, pm25, so2"
2025-08-08T21:16:37.319508,377,Sur,Sin ciudad,-32.800981,-71.483371,Chile - SINCA,Unknown Governmental Organization,Government Monitor,False,True,2016-02-12T05:00:00Z,2018-08-29T18:00:00Z,America/Santiago,6,"co, no2, o3, pm10, pm25, so2"
2025-08-08T21:16:46.925690,388,Lota rural,Coronel,-37.100696257418,-73.155760394707,Chile - SINCA,Unknown Governmental Organization,Government Monitor,False,True,2016-01-30T01:00:00Z,2025-08-08T23:00:00Z,America/Santiago,6,"co, no2, o3, pm10, pm25, so2"
2025-08-08T21:16:56.666821,399,Puren,Chillán,-36.616167751711,-72.093040558483,Chile - SINCA,Unknown Governmental Organization,Government Monitor,False,True,2016-01-30T01:00:00Z,2025-08-08T22:00:00Z,America/Santiago,6,"co, no2, o3, pm10, pm25, so2"
2025-08-08T21:17:06.042619,725,Independencia,Sin ciudad,-33.422301,-70.651162,Chile - SINCA,Unknown Governmental Organization,Government Monitor,False,True,2016-01-30T01:00:00Z,2021-08-08T04:00:00Z,America/Santiago,6,"co, no2, o3, pm10, pm25, so2"
2025-08-08T21:17:16.129757,808,Indura,Talcahuano,-36.769803,-73.113708,Chile - SINCA,Unknown Governmental Organization,Government Monitor,False,True,2016-01-30T01:00:00Z,2025-08-08T23:00:00Z,America/Santiago,6,"co, no2, o3, pm10, pm25, so2"
2025-08-08T21:17:29.016593,810,JUNJI,Hualpén,-36.780632,-73.115657,Chile - SINCA,Unknown Governmental Organization,Government Monitor,False,True,2016-01-30T01:00:00Z,2025-08-08T23:00:00Z,America/Santiago,6,"co, no2, o3, pm10, pm25, so2"
2025-08-08T21:17:38.436119,812,ENAP Price,Hualpén,-36.791231,-73.119152,Chile - SINCA,Unknown Governmental Organization,Government Monitor,False,True,2016-01-30T01:00:00Z,2025-08-08T23:00:00Z,America/Santiago,6,"co, no2, o3, pm10, pm25, so2"
2025-08-08T21:17:47.448733,830,Sierra Gorda ,Sierra Gorda,-22.888724142633,-69.318140714844,Chile - SINCA,Unknown Governmental Organization,Government Monitor,False,True,2016-01-30T01:00:00Z,2024-06-07T20:00:00Z,America/Santiago,6,"co, no2, o3, pm10, pm25, so2"
2025-08-08T21:17:57.190769,849,El Bosque (Acreditada),El Bosque,-33.547099645619,-70.666204101852,Chile - SINCA,Unknown Governmental Organization,Government Monitor,False,True,2016-01-30T01:00:00Z,2025-03-11T13:00:00Z,America/Santiago,6,"co, no2, o3, pm10, pm25, so2"
2025-08-08T21:18:06.843468,850,Rancagua II,Rancagua,-34.143888375919,-70.737131207664,Chile - SINCA,Unknown Governmental Organization,Government Monitor,False,True,2016-01-30T01:00:00Z,2025-08-08T23:00:00Z,America/Santiago,6,"co, no2, o3, pm10, pm25, so2"
2025-08-08T21:18:18.874412,852,La Florida (Acreditada),La Florida,-33.516630362266,-70.588123961971,Chile - SINCA,Unknown Governmental Organization,Government Monitor,False,True,2016-01-30T01:00:00Z,2025-08-08T23:00:00Z,America/Santiago,6,"co, no2, o3, pm10, pm25, so2"
2025-08-08T21:18:28.517045,909,Progreso,Sin ciudad,-37.068142,-72.289451,Chile - SINCA,Unknown Governmental Organization,Government Monitor,False,True,2016-01-30T01:00:00Z,2017-11-13T14:00:00Z,America/Santiago,6,"co, no2, o3, pm10, pm25, so2"
2025-08-08T21:18:37.144770,933,Valle Alegre,Quintero,-32.807512,-71.436274,Chile - SINCA,Unknown Governmental Organization,Government Monitor,False,True,2016-02-12T05:00:00Z,2025-08-08T23:00:00Z,America/Santiago,6,"co, no2, o3, pm10, pm25, so2"
2025-08-08T21:18:47.096869,941,Los Maitenes,Puchuncaví,-32.764139,-71.454494,Chile - SINCA,Unknown Governmental Organization,Government Monitor,False,True,2016-02-12T05:00:00Z,2025-08-08T23:00:00Z,America/Santiago,6,"co, no2, o3, pm10, pm25, so2"
2025-08-08T21:18:56.891647,963,Universidad de Talca,Talca,-35.406582744695,-71.633396474869,Chile - SINCA,Unknown Governmental Organization,Government Monitor,False,True,2016-01-30T01:00:00Z,2025-08-08T21:00:00Z,America/Santiago,6,"co, no2, o3, pm10, pm25, so2"
2025-08-08T21:19:09.268582,967,Pudahuel (Acreditada),Pudahuel,-33.437811379126,-70.750171233135,Chile - SINCA,Unknown Governmental Organization,Government Monitor,False,True,2016-01-30T01:00:00Z,2025-08-08T22:00:00Z,America/Santiago,6,"co, no2, o3, pm10, pm25, so2"
2025-08-08T21:19:19.262664,975,Viña del Mar,Viña del Mar,-33.020419817382,-71.550092842922,Chile - SINCA,Unknown Governmental Organization,Government Monitor,False,True,2016-01-30T01:00:00Z,2025-08-08T23:00:00Z,America/Santiago,6,"co, no2, o3, pm10, pm25, so2"
2025-08-08T21:19:29.162173,990,Valdivia,Valdivia,-39.831316104673,-73.22851282209,Chile - SINCA,Unknown Governmental Organization,Government Monitor,False,True,2016-01-30T01:00:00Z,2025-07-24T19:00:00Z,America/Santiago,6,"co, no2, o3, pm10, pm25, so2"
2025-08-08T21:19:39.234793,997,Rancagua I,Rancagua,-34.162314609087,-70.713919225517,Chile - SINCA,Unknown Governmental Organization,Government Monitor,False,True,2016-01-30T01:00:00Z,2025-08-08T23:00:00Z,America/Santiago,6,"co, no2, o3, pm10, pm25, so2"
2025-08-08T21:19:48.511652,1605,U.C. Maule,Talca,-35.435725588722,-71.619553864003,Chile - SINCA,Unknown Governmental Organization,Government Monitor,False,True,2016-01-30T02:00:00Z,2025-08-08T23:00:00Z,America/Santiago,6,"co, no2, o3, pm10, pm25, so2"
2025-08-08T21:20:01.252825,2198,Osorno,Osorno,-40.584478665958,-73.11871982209,Chile - SINCA,Unknown Governmental Organization,Government Monitor,False,True,2016-01-30T01:00:00Z,2025-08-08T12:00:00Z,America/Santiago,6,"co, no2, o3, pm10, pm25, so2"
2025-08-08T21:20:10.666532,2266,Quilpue,Sin ciudad,-33.047466597243,-71.434512871895,Chile - SINCA,Unknown Governmental Organization,Government Monitor,False,True,2016-01-30T01:00:00Z,2017-06-28T17:00:00Z,America/Santiago,6,"co, no2, o3, pm10, pm25, so2"
2025-08-08T21:20:20.857900,2268,Quilicura,Quilicura,-33.349626928347,-70.723792612552,Chile - SINCA,Unknown Governmental Organization,Government Monitor,False,True,2016-04-27T22:00:00Z,2025-08-08T23:00:00Z,America/Santiago,6,"co, no2, o3, pm10, pm25, so2"
2025-08-08T21:20:30.985729,2284,Quillón,Sin ciudad,-36.743905,-72.47721,Chile - SINCA,Unknown Governmental Organization,Government Monitor,False,True,2016-01-30T01:00:00Z,2017-12-02T07:00:00Z,America/Santiago,6,"co, no2, o3, pm10, pm25, so2"
2025-08-08T21:20:40.700368,2332,Rengo,Rengo,-34.394541417902,-70.852981542328,Chile - SINCA,Unknown Governmental Organization,Government Monitor,False,True,2016-01-30T01:00:00Z,2025-08-08T23:00:00Z,America/Santiago,6,"co, no2, o3, pm10, pm25, so2"
2025-08-08T21:20:52.970124,2432,Estación Centro,Calama,-22.462144644633998,-68.92806169339,Chile - SINCA,Unknown Governmental Organization,Government Monitor,False,True,2016-02-05T13:00:00Z,2025-08-08T22:00:00Z,America/Santiago,6,"co, no2, o3, pm10, pm25, so2"
2025-08-08T21:21:02.932887,2497,Santa Margarita,Catemu,-32.776573,-70.938144,Chile - SINCA,Unknown Governmental Organization,Government Monitor,False,True,2016-01-30T01:00:00Z,2025-08-08T23:00:00Z,America/Santiago,6,"co, no2, o3, pm10, pm25, so2"
2025-08-08T21:21:13.048940,2528,Lota urbana,Coronel,-37.077619809695,-73.154136498581,Chile - SINCA,Unknown Governmental Organization,Government Monitor,False,True,2016-01-30T01:00:00Z,2025-08-08T23:00:00Z,America/Santiago,6,"co, no2, o3, pm10, pm25, so2"
2025-08-08T21:21:22.604009,2575,Romeral,Catemu,-32.823956,-71.006441,Chile - SINCA,Unknown Governmental Organization,Government Monitor,False,True,2016-01-30T01:00:00Z,2025-08-08T23:00:00Z,America/Santiago,6,"co, no2, o3, pm10, pm25, so2"
2025-08-08T21:21:31.774041,25,Parque O'Higgins,Santiago,-33.464142,-70.660797,Chile - SINCA,Unknown Governmental Organization,Government Monitor,False,True,2016-01-30T01:00:00Z,2025-08-08T22:00:00Z,America/Santiago,6,"co, no2, o3, pm10, pm25, so2"
2025-08-08T21:21:44.878634,27,Concón,Concón,-32.924568,-71.515399,Chile - SINCA,Unknown Governmental Organization,Government Monitor,False,True,2016-01-30T01:00:00Z,2025-08-08T23:00:00Z,America/Santiago,6,"co, no2, o3, pm10, pm25, so2"
2025-08-08T21:21:54.461805,45,Puente Alto,Puente Alto,-33.591390623022,-70.594788,Chile - SINCA,Unknown Governmental Organization,Government Monitor,False,True,2016-01-30T01:00:00Z,2025-08-08T22:00:00Z,America/Santiago,6,"co, no2, o3, pm10, pm25, so2"
2025-08-08T21:22:04.324934,47,Valparaiso,Valparaíso,-33.049743798096,-71.614167231712,Chile - SINCA,Unknown Governmental Organization,Government Monitor,False,True,2016-01-30T01:00:00Z,2025-08-08T22:00:00Z,America/Santiago,6,"co, no2, o3, pm10, pm25, so2"
2025-08-08T21:22:13.805414,54,Talagante,Talagante,-33.673752071375,-70.953064737434,Chile - SINCA,Unknown Governmental Organization,Government Monitor,False,True,2016-01-30T01:00:00Z,2025-08-08T22:00:00Z,America/Santiago,6,"co, no2, o3, pm10, pm25, so2"
2025-08-08T21:22:23.623912,65,Punteras,Chiguayante,-36.923329602986,-73.036132300941,Chile - SINCA,Unknown Governmental Organization,Government Monitor,False,True,2016-01-30T01:00:00Z,2025-08-08T23:00:00Z,America/Santiago,6,"co, no2, o3, pm10, pm25, so2"
2025-08-08T21:22:36.010351,67,Ventanas,Sin ciudad,-32.77898790221,-71.373031276855,Chile - SINCA,Unknown Governmental Organization,Government Monitor,False,True,2016-02-12T05:00:00Z,2018-08-29T18:00:00Z,America/Santiago,6,"co, no2, o3, pm10, pm25, so2"
2025-08-08T21:22:45.861906,73,Coyhaique II,Coyhaique,-45.579045667164,-72.049964505825,Chile - SINCA,Unknown Governmental Organization,Government Monitor,False,True,2016-01-30T01:00:00Z,2025-08-08T23:00:00Z,America/Santiago,6,"co, no2, o3, pm10, pm25, so2"
2025-08-08T21:22:55.634397,145,Escuela E-10,Sin ciudad,-22.087,-70.193253,Chile - SINCA,Unknown Governmental Organization,Government Monitor,False,True,2016-01-30T01:00:00Z,2016-02-24T21:00:00Z,America/Santiago,6,"co, no2, o3, pm10, pm25, so2"
2025-08-08T21:23:05.889603,299,Quilicura,Sin ciudad,-33.365775677885,-70.748288055225,Chile - SINCA,Unknown Governmental Organization,Government Monitor,False,True,2016-01-30T01:00:00Z,2016-04-27T16:00:00Z,America/Santiago,6,"co, no2, o3, pm10, pm25, so2"
2025-08-08T21:23:15.401354,377,Sur,Sin ciudad,-32.800981,-71.483371,Chile - SINCA,Unknown Governmental Organization,Government Monitor,False,True,2016-02-12T05:00:00Z,2018-08-29T18:00:00Z,America/Santiago,6,"co, no2, o3, pm10, pm25, so2"
2025-08-08T21:23:27.858454,388,Lota rural,Coronel,-37.100696257418,-73.155760394707,Chile - SINCA,Unknown Governmental Organization,Government Monitor,False,True,2016-01-30T01:00:00Z,2025-08-08T23:00:00Z,America/Santiago,6,"co, no2, o3, pm10, pm25, so2"
2025-08-08T21:23:37.344243,399,Puren,Chillán,-36.616167751711,-72.093040558483,Chile - SINCA,Unknown Governmental Organization,Government Monitor,False,True,2016-01-30T01:00:00Z,2025-08-08T22:00:00Z,America/Santiago,6,"co, no2, o3, pm10, pm25, so2"
2025-08-08T21:23:46.768343,725,Independencia,Sin ciudad,-33.422301,-70.651162,Chile - SINCA,Unknown Governmental Organization,Government Monitor,False,True,2016-01-30T01:00:00Z,2021-08-08T04:00:00Z,America/Santiago,6,"co, no2, o3, pm10, pm25, so2"
2025-08-08T21:23:55.954970,808,Indura,Talcahuano,-36.769803,-73.113708,Chile - SINCA,Unknown Governmental Organization,Government Monitor,False,True,2016-01-30T01:00:00Z,2025-08-08T23:00:00Z,America/Santiago,6,"co, no2, o3, pm10, pm25, so2"
2025-08-08T21:24:05.586329,810,JUNJI,Hualpén,-36.780632,-73.115657,Chile - SINCA,Unknown Governmental Organization,Government Monitor,False,True,2016-01-30T01:00:00Z,2025-08-08T23:00:00Z,America/Santiago,6,"co, no2, o3, pm10, pm25, so2"
2025-08-08T21:24:17.717987,812,ENAP Price,Hualpén,-36.791231,-73.119152,Chile - SINCA,Unknown Governmental Organization,Government Monitor,False,True,2016-01-30T01:00:00Z,2025-08-08T23:00:00Z,America/Santiago,6,"co, no2, o3, pm10, pm25, so2"
2025-08-08T21:24:27.588562,830,Sierra Gorda ,Sierra Gorda,-22.888724142633,-69.318140714844,Chile - SINCA,Unknown Governmental Organization,Government Monitor,False,True,2016-01-30T01:00:00Z,2024-06-07T20:00:00Z,America/Santiago,6,"co, no2, o3, pm10, pm25, so2"
2025-08-08T21:24:36.409232,849,El Bosque (Acreditada),El Bosque,-33.547099645619,-70.666204101852,Chile - SINCA,Unknown Governmental Organization,Government Monitor,False,True,2016-01-30T01:00:00Z,2025-03-11T13:00:00Z,America/Santiago,6,"co, no2, o3, pm10, pm25, so2"
2025-08-08T21:24:45.327825,850,Rancagua II,Rancagua,-34.143888375919,-70.737131207664,Chile - SINCA,Unknown Governmental Organization,Government Monitor,False,True,2016-01-30T01:00:00Z,2025-08-08T23:00:00Z,America/Santiago,6,"co, no2, o3, pm10, pm25, so2"
2025-08-08T21:24:54.232822,852,La Florida (Acreditada),La Florida,-33.516630362266,-70.588123961971,Chile - SINCA,Unknown Governmental Organization,Government Monitor,False,True,2016-01-30T01:00:00Z,2025-08-08T23:00:00Z,America/Santiago,6,"co, no2, o3, pm10, pm25, so2"
2025-08-08T21:25:06.344023,909,Progreso,Sin ciudad,-37.068142,-72.289451,Chile - SINCA,Unknown Governmental Organization,Government Monitor,False,True,2016-01-30T01:00:00Z,2017-11-13T14:00:00Z,America/Santiago,6,"co, no2, o3, pm10, pm25, so2"
2025-08-08T21:25:15.893170,933,Valle Alegre,Quintero,-32.807512,-71.436274,Chile - SINCA,Unknown Governmental Organization,Government Monitor,False,True,2016-02-12T05:00:00Z,2025-08-08T23:00:00Z,America/Santiago,6,"co, no2, o3, pm10, pm25, so2"
2025-08-08T21:25:25.398616,941,Los Maitenes,Puchuncaví,-32.764139,-71.454494,Chile - SINCA,Unknown Governmental Organization,Government Monitor,False,True,2016-02-12T05:00:00Z,2025-08-08T23:00:00Z,America/Santiago,6,"co, no2, o3, pm10, pm25, so2"
2025-08-08T21:25:34.650352,963,Universidad de Talca,Talca,-35.406582744695,-71.633396474869,Chile - SINCA,Unknown Governmental Organization,Government Monitor,False,True,2016-01-30T01:00:00Z,2025-08-08T21:00:00Z,America/Santiago,6,"co, no2, o3, pm10, pm25, so2"
